Year,Domestic_BoxOffice,Releases
2025,7786477756.0,631
2024,8571249443.0,677
2023,8907716802.0,592
2022,7369914732.0,502
2021,4483016589.0,442
2020,2113690020.0,456
2019,11363360766.0,910
2018,11892160011.0,993
2017,11075387520.0,854
2016,11375225455.0,855
2015,11148780747.0,845
2014,10368861849.0,849
2013,10955524800.0,826
2012,10843641372.0,807
2011,10155695359.0,731
2010,10585388159.0,651
2009,10615886283.0,646
2008,9652648585.0,725
2007,9679019852.0,775
2006,9203041941.0,746
2005,8833618311.0,676
2004,9354636012.0,700
2003,9232953228.0,667
2002,9164913438.0,570
2001,7959268908.0,411
2000,7476224972.0,439
