Year,Domestic_BoxOffice,Pct_vs_LY,Releases,Average_Gross,Top_Release
2024,8571249443.0,-3.8%,677,"$12,660,634",Inside Out 2
2023,8907716802.0,+20.9%,592,"$15,046,818",Barbie
2022,7369914732.0,+64.4%,502,"$14,681,105",Top Gun: Maverick
2021,4483016589.0,+112.1%,442,"$10,142,571",Spider-Man: No Way Home
2020,2113690020.0,-81.4%,456,"$4,635,285",Bad Boys for Life
2019,11363365531.0,-4.4%,910,"$12,487,214",Avengers: Endgame
2018,11892160011.0,+7.4%,993,"$11,975,991",Black Panther
2017,11075387520.0,-2.6%,854,"$12,968,837",Star Wars: Episode VIII - The Last Jedi
2016,11375225455.0,+2%,855,"$13,304,357",Finding Dory
2015,11148780747.0,+7.5%,845,"$13,193,823",Jurassic World
